


Sun Oct  8 16:54:22 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,10
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,


Sun Oct  8 17:03:43 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,10
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,
16x16,0.000020,,0.000032,0.000198,0.000186,0.000201,0.000230,0.000238,0.000271,0.000408,,0,1.000000,0.159677,0.170075,0.157606,0.137272,0.132941,0.116476,0.077413,,0.000027,0.000172,0.000218,0.000211,0.000227,0.000270,0.000348,0.000377,,0,1.000000,0.154429,0.121448,0.125831,0.116689,0.098185,0.076237,0.070292,,0.000058,0.000369,0.000404,0.000411,0.000457,0.000508,0.000619,0.000785,,0,1.000000,0.157240,0.143812,0.141328,0.127050,0.114460,0.093876,0.073994,,,3,3,3,3,3,3,3,3,,194,194,194,194,194,194,194,194,
32x32,0.000056,,0.000063,0.000200,0.000181,0.000176,0.000183,0.000196,0.000277,0.000322,,0,1.000000,0.316683,0.350276,0.361048,0.345692,0.323304,0.228551,0.196699,,0.000088,0.000220,0.000226,0.000241,0.000269,0.000304,0.000338,0.000419,,0,1.000000,0.399637,0.390071,0.364540,0.327259,0.289760,0.260741,0.209874,,0.000151,0.000420,0.000407,0.000417,0.000452,0.000500,0.000615,0.000742,,0,1.000000,0.360133,0.372356,0.363069,0.334734,0.302921,0.246219,0.204148,,,3,3,3,3,3,3,3,6,,670,670,670,670,670,670,670,689,
64x64,0.000216,,0.000223,0.000361,0.000309,0.000360,0.000396,0.000370,0.000420,0.000472,,0,1.000000,0.618217,0.723122,0.620623,0.564031,0.603025,0.531161,0.472661,,0.000332,0.000424,0.000376,0.000876,0.000468,0.000499,0.000553,0.000627,,0,1.000000,0.782547,0.881743,0.378854,0.708823,0.665463,0.600108,0.528824,,0.000555,0.000785,0.000685,0.001236,0.000864,0.000869,0.000973,0.001100,,0,1.000000,0.706954,0.810247,0.449255,0.642477,0.638854,0.570328,0.504700,,,6,6,6,6,6,6,6,12,,2657,2657,2657,2657,2657,2657,2657,2726,
128x128,0.000839,,0.000912,0.000815,0.000777,0.000692,0.000771,0.000730,0.000761,0.000781,,0,1.000000,1.119048,1.173488,1.317821,1.182313,1.248699,1.198475,1.166965,,0.001233,0.001138,0.001041,0.000972,0.001085,0.001050,0.001024,0.001097,,0,1.000000,1.083509,1.183826,1.268629,1.136142,1.174128,1.203946,1.123156,,0.002144,0.001952,0.001818,0.001664,0.001856,0.001780,0.001785,0.001879,,0,1.000000,1.098341,1.179408,1.289089,1.155326,1.204719,1.201614,1.141375,,,5,5,5,5,5,5,5,17,,10236,10236,10236,10236,10236,10236,10236,10509,
256x256,0.003247,,0.002345,0.001820,0.001611,0.001496,0.001485,0.001517,0.001470,0.001624,,0,1.000000,1.288587,1.456041,1.567790,1.579724,1.546288,1.595740,1.443730,,0.004656,0.004072,0.003136,0.002504,0.003474,0.003263,0.003054,0.003055,,0,1.000000,1.143517,1.484821,1.859807,1.340203,1.427118,1.524689,1.524218,,0.007002,0.005892,0.004747,0.003999,0.004959,0.004779,0.004524,0.004679,,0,1.000000,1.188326,1.475056,1.750594,1.411906,1.464933,1.547772,1.496278,,,5,5,5,5,5,5,5,22,,36045,36045,36045,36045,36045,36045,36045,37096,
512x512,0.012311,,0.040800,0.027982,0.022591,0.020183,0.020391,0.018226,0.018023,0.019243,,0,1.000000,1.458070,1.805989,2.021543,2.000853,2.238511,2.263762,2.120248,,0.018298,0.017245,0.014019,0.013162,0.014519,0.013339,0.013304,0.013353,,0,1.000000,1.061057,1.305230,1.390176,1.260263,1.371760,1.375297,1.370312,,0.059098,0.045227,0.036610,0.033345,0.034910,0.031565,0.031328,0.032596,,0,1.000000,1.306692,1.614240,1.772326,1.692848,1.872242,1.886442,1.813039,,,6,6,6,6,6,6,6,28,,137057,137057,137057,137057,137057,137057,137057,140767,
1024x1024,0.048645,,0.462782,0.225662,0.207409,0.186950,0.180235,0.180628,0.174945,0.186472,,0,1.000000,2.050773,2.231257,2.475438,2.567660,2.562075,2.645293,2.481778,,0.075455,0.070072,0.061245,0.057940,0.059330,0.056119,0.054305,0.056774,,0,1.000000,1.076821,1.232015,1.302289,1.271787,1.344561,1.389480,1.329051,,0.538237,0.295734,0.268654,0.244890,0.239565,0.236747,0.229250,0.243245,,0,1.000000,1.820002,2.003459,2.197874,2.246728,2.273474,2.347817,2.212731,,,5,5,5,5,5,5,5,33,,506705,506705,506705,506705,506705,506705,506705,520782,
2048x2048,0.191797,,2.972033,1.661364,1.277768,1.272180,1.208067,1.251488,1.207861,1.241348,,0,1.000000,1.788911,2.325957,2.336174,2.460155,2.374799,2.460576,2.394198,,0.312824,0.283002,0.246099,0.258243,0.278809,0.279641,0.298322,0.306337,,0,1.000000,1.105378,1.271132,1.211353,1.122000,1.118663,1.048612,1.021175,,3.284857,1.944366,1.523867,1.530423,1.486877,1.531129,1.506183,1.547685,,0,1.000000,1.689423,2.155607,2.146372,2.209233,2.145382,2.180916,2.122432,,,6,6,6,6,6,6,6,39,,1941488,1941488,1941488,1941488,1941488,1941488,1941488,1993566,
4096x4096,0.814900,,0.554400,0.404629,0.379243,0.349597,0.328198,0.338256,0.325658,0.475410,,0,1.000000,1.370146,1.461858,1.585826,1.689224,1.638994,1.702399,1.166152,,1.258813,1.393573,1.311201,1.309661,1.468593,1.489040,1.530689,1.644987,,0,1.000000,0.903299,0.960045,0.961174,0.857156,0.845386,0.822383,0.765242,,1.813213,1.798202,1.690445,1.659258,1.796791,1.827296,1.856347,2.120397,,0,1.000000,1.008348,1.072625,1.092785,1.009140,0.992293,0.976764,0.855129,,,2,2,2,2,2,2,2,41,,6733797,6733797,6733797,6733797,6733797,6733797,6733797,6933154,



Sun Oct  8 17:17:06 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,10
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,
16x16,0.000021,,0.000028,0.000238,0.000197,0.000201,0.000223,0.000242,0.000269,0.000350,,0,1.000000,0.118266,0.142423,0.139523,0.126122,0.116356,0.104461,0.080378,,0.000026,0.000217,0.000241,0.000283,0.000297,0.000348,0.000445,0.000496,,0,1.000000,0.119816,0.108063,0.091905,0.087572,0.074670,0.058414,0.052451,,0.000054,0.000455,0.000438,0.000484,0.000520,0.000590,0.000714,0.000845,,0,1.000000,0.119006,0.123544,0.111708,0.104099,0.091742,0.075760,0.064001,,,4,4,4,4,4,4,4,4,,192,192,192,192,192,192,192,192,
32x32,0.000053,,0.000078,0.000251,0.000224,0.000238,0.000260,0.000333,0.000358,0.000441,,0,1.000000,0.309713,0.346702,0.326205,0.298886,0.233634,0.217501,0.176513,,0.000081,0.000284,0.000275,0.000315,0.000362,0.000424,0.000491,0.000544,,0,1.000000,0.284607,0.293605,0.256345,0.223081,0.190611,0.164495,0.148620,,0.000159,0.000535,0.000500,0.000554,0.000623,0.000757,0.000849,0.000984,,0,1.000000,0.296393,0.317454,0.286437,0.254779,0.209539,0.186830,0.161108,,,8,8,8,8,8,8,8,12,,736,736,736,736,736,736,736,755,
64x64,0.000221,,0.000226,0.000355,0.000292,0.000319,0.000369,0.000369,0.000387,0.000507,,0,1.000000,0.636774,0.773023,0.707837,0.611427,0.612090,0.583161,0.445210,,0.000334,0.000481,0.000428,0.000599,0.000600,0.000607,0.001127,0.000737,,0,1.000000,0.694196,0.778763,0.557374,0.555796,0.549843,0.295991,0.452986,,0.000559,0.000835,0.000721,0.000918,0.000970,0.000976,0.001515,0.001244,,0,1.000000,0.669819,0.776436,0.609676,0.576983,0.573376,0.369404,0.449816,,,3,3,3,3,3,3,3,15,,2667,2667,2667,2667,2667,2667,2667,2743,
128x128,0.000807,,0.000806,0.000743,0.000652,0.000594,0.000683,0.000661,0.000676,0.000789,,0,1.000000,1.084477,1.236124,1.357696,1.181245,1.220221,1.193486,1.022425,,0.001187,0.001191,0.001009,0.000902,0.001117,0.001125,0.001092,0.001221,,0,1.000000,0.996640,1.176366,1.314792,1.062215,1.054381,1.086630,0.971614,,0.001993,0.001934,0.001661,0.001496,0.001800,0.001786,0.001767,0.002010,,0,1.000000,1.030403,1.199831,1.331818,1.107357,1.115727,1.127468,0.991549,,,5,5,5,5,5,5,5,20,,9847,9847,9847,9847,9847,9847,9847,10121,
256x256,0.002988,,0.003013,0.002596,0.002246,0.002257,0.002121,0.002201,0.002260,0.002338,,0,1.000000,1.160581,1.341720,1.335002,1.420670,1.368658,1.333230,1.288888,,0.004292,0.004118,0.003476,0.002862,0.003627,0.003372,0.003220,0.003218,,0,1.000000,1.042328,1.234746,1.499948,1.183505,1.272827,1.333033,1.333809,,0.007305,0.006714,0.005722,0.005119,0.005747,0.005574,0.005480,0.005556,,0,1.000000,1.088055,1.276731,1.427215,1.271022,1.310679,1.333114,1.314907,,,6,6,6,6,6,6,6,26,,37908,37908,37908,37908,37908,37908,37908,38920,
512x512,0.012667,,0.050231,0.030186,0.030282,0.022764,0.023675,0.020061,0.021714,0.019031,,0,1.000000,1.664056,1.658770,2.206575,2.121686,2.503948,2.313254,2.639432,,0.018544,0.018228,0.015688,0.013214,0.015165,0.013854,0.014044,0.013800,,0,1.000000,1.017353,1.182013,1.403363,1.222769,1.338504,1.320396,1.343732,,0.068775,0.048413,0.045970,0.035978,0.038840,0.033915,0.035758,0.032831,,0,1.000000,1.420572,1.496066,1.911574,1.770698,2.027864,1.923308,2.094796,,,3,3,3,3,3,3,3,29,,139038,139038,139038,139038,139038,139038,139038,142930,



Sun Oct  8 17:22:08 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,10
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,
16x16,0.000019,,0.000028,0.000191,0.000192,0.000203,0.000224,0.000279,0.000291,0.000314,,0,1.000000,0.147335,0.147181,0.138711,0.126118,0.101003,0.096841,0.089752,,0.000026,0.000170,0.000209,0.000233,0.000256,0.000293,0.000327,0.000361,,0,1.000000,0.150677,0.122547,0.109636,0.100157,0.087313,0.078288,0.070875,,0.000054,0.000361,0.000401,0.000437,0.000479,0.000572,0.000618,0.000675,,0,1.000000,0.148907,0.134332,0.123169,0.112270,0.093990,0.087027,0.079657,,,5,5,5,5,5,5,5,5,,179,179,179,179,179,179,179,179,
32x32,0.000061,,0.000072,0.000221,0.000202,0.000209,0.000235,0.000275,0.000283,0.000452,,0,1.000000,0.324434,0.355655,0.342243,0.304847,0.261012,0.253357,0.158481,,0.000089,0.000220,0.000244,0.000261,0.000294,0.000321,0.000357,0.000445,,0,1.000000,0.404556,0.363785,0.340752,0.302555,0.276981,0.248809,0.199407,,0.000160,0.000441,0.000446,0.000470,0.000529,0.000595,0.000640,0.000898,,0,1.000000,0.364359,0.360108,0.341417,0.303575,0.269612,0.250820,0.178782,,,6,6,6,6,6,6,6,11,,766,766,766,766,766,766,766,784,
64x64,0.000251,,0.000673,0.000358,0.000311,0.000300,0.000313,0.000315,0.000348,0.000433,,0,1.000000,1.879118,2.164309,2.242172,2.147735,2.136147,1.931975,1.552918,,0.000347,0.000428,0.000437,0.000428,0.000447,0.000490,0.000573,0.000635,,0,1.000000,0.811550,0.795189,0.811930,0.775816,0.708512,0.605442,0.546673,,0.001020,0.000786,0.000747,0.000728,0.000761,0.000805,0.000922,0.001068,,0,1.000000,1.298130,1.364816,1.401951,1.340957,1.267329,1.106868,0.954909,,,2,2,2,2,2,2,2,13,,2459,2459,2459,2459,2459,2459,2459,2538,
128x128,0.000787,,0.000722,0.000730,0.000716,0.000659,0.000639,0.000693,0.000687,0.000733,,0,1.000000,0.988907,1.008801,1.095751,1.130755,1.042142,1.050939,0.985743,,0.001110,0.001188,0.000959,0.000818,0.001030,0.001035,0.000993,0.001125,,0,1.000000,0.934832,1.157648,1.357833,1.078380,1.072754,1.117902,0.986852,,0.001832,0.001918,0.001675,0.001477,0.001668,0.001728,0.001680,0.001858,,0,1.000000,0.955420,1.094035,1.240875,1.098429,1.060478,1.090520,0.986414,,,3,3,3,3,3,3,3,16,,9250,9250,9250,9250,9250,9250,9250,9504,
256x256,0.003148,,0.003255,0.002331,0.002044,0.001712,0.001751,0.001758,0.001830,0.001937,,0,1.000000,1.396286,1.592535,1.901127,1.859215,1.851391,1.779241,1.680888,,0.004428,0.003998,0.003022,0.002465,0.003355,0.003222,0.003090,0.003043,,0,1.000000,1.107504,1.465043,1.796049,1.319801,1.374410,1.432713,1.455121,,0.007683,0.006329,0.005066,0.004178,0.005106,0.004980,0.004920,0.004980,,0,1.000000,1.213875,1.516481,1.839118,1.504779,1.542822,1.561574,1.542926,,,5,5,5,5,5,5,5,21,,40291,40291,40291,40291,40291,40291,40291,41242,
512x512,0.012600,,0.045342,0.031482,0.030133,0.025755,0.022531,0.019602,0.020932,0.018347,,0,1.000000,1.440259,1.504712,1.760525,2.012401,2.313168,2.166158,2.471298,,0.018972,0.017689,0.014650,0.016063,0.014455,0.013484,0.013361,0.014351,,0,1.000000,1.072533,1.294956,1.181090,1.312462,1.406943,1.419959,1.321983,,0.064313,0.049170,0.044784,0.041817,0.036986,0.033086,0.034292,0.032698,,0,1.000000,1.307973,1.436094,1.537955,1.738851,1.943834,1.875433,1.966878,,,4,4,4,4,4,4,4,25,,139405,139405,139405,139405,139405,139405,139405,143529,



Sun Oct  8 17:22:50 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,100
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,
16x16,0.000016,,0.000025,0.000174,0.000166,0.000179,0.000206,0.000227,0.000262,0.000309,,0,1.000000,0.144831,0.152545,0.140976,0.122491,0.111405,0.096276,0.081729,,0.000025,0.000164,0.000196,0.000218,0.000239,0.000322,0.000320,0.000365,,0,1.000000,0.154635,0.129590,0.116447,0.106012,0.078635,0.079284,0.069390,,0.000051,0.000338,0.000361,0.000397,0.000445,0.000549,0.000582,0.000674,,0,1.000000,0.149580,0.140116,0.127523,0.113644,0.092169,0.086945,0.075046,,,36,36,36,36,36,36,36,36,,188,188,188,188,188,188,188,188,
32x32,0.000057,,0.000070,0.000206,0.000188,0.000202,0.000224,0.000247,0.000283,0.000318,,0,1.000000,0.340583,0.373708,0.346469,0.313550,0.284003,0.247985,0.220726,,0.000085,0.000199,0.000216,0.000250,0.000281,0.000314,0.000354,0.000390,,0,1.000000,0.424086,0.391218,0.338498,0.300804,0.268908,0.238768,0.216644,,0.000155,0.000405,0.000404,0.000452,0.000505,0.000561,0.000637,0.000708,,0,1.000000,0.381651,0.383078,0.342067,0.306454,0.275549,0.242861,0.218476,,,42,42,42,42,42,42,42,78,,699,699,699,699,699,699,699,701,
64x64,0.000219,,0.000236,0.000329,0.000290,0.000302,0.000318,0.000341,0.000359,0.000396,,0,1.000000,0.717638,0.814622,0.781071,0.741389,0.691675,0.657780,0.595893,,0.000322,0.000409,0.000366,0.000403,0.000454,0.000479,0.000534,0.000561,,0,1.000000,0.789250,0.880575,0.800477,0.710518,0.673279,0.603888,0.574828,,0.000559,0.000738,0.000656,0.000705,0.000772,0.000820,0.000893,0.000957,,0,1.000000,0.757305,0.851435,0.792157,0.723248,0.680934,0.625553,0.583548,,,49,49,49,49,49,49,49,127,,2592,2592,2592,2592,2592,2592,2592,2599,
128x128,0.000839,,0.000846,0.000799,0.000681,0.000659,0.000671,0.000702,0.000724,0.000760,,0,1.000000,1.057962,1.242187,1.283934,1.260251,1.205470,1.168661,1.113429,,0.001223,0.001196,0.001016,0.000971,0.001098,0.001105,0.001114,0.001139,,0,1.000000,1.022585,1.203353,1.260041,1.113770,1.106364,1.098099,1.073500,,0.002069,0.001995,0.001697,0.001629,0.001769,0.001807,0.001837,0.001899,,0,1.000000,1.036760,1.218934,1.269701,1.169340,1.144847,1.125893,1.089474,,,53,53,53,53,53,53,53,180,,9780,9780,9780,9780,9780,9780,9780,9806,
256x256,0.003180,,0.003172,0.002414,0.002142,0.002048,0.002000,0.002054,0.002068,0.002085,,0,1.000000,1.314131,1.481269,1.548988,1.586036,1.544606,1.534401,1.521190,,0.004572,0.004156,0.003473,0.003344,0.003727,0.003476,0.003473,0.003418,,0,1.000000,1.100161,1.316462,1.367009,1.226721,1.315046,1.316272,1.337404,,0.007744,0.006570,0.005614,0.005392,0.005727,0.005530,0.005541,0.005504,,0,1.000000,1.178786,1.379329,1.436125,1.352215,1.400300,1.397666,1.407042,,,46,46,46,46,46,46,46,226,,35927,35927,35927,35927,35927,35927,35927,36026,
512x512,0.012287,,0.048588,0.033193,0.024975,0.021206,0.018554,0.017777,0.016972,0.016532,,0,1.000000,1.463790,1.945485,2.291185,2.618669,2.733161,2.862814,2.938972,,0.018163,0.017085,0.014981,0.014916,0.014731,0.015173,0.014393,0.014394,,0,1.000000,1.063086,1.212422,1.217716,1.232977,1.197074,1.261926,1.261839,,0.066751,0.050278,0.039955,0.036122,0.033285,0.032950,0.031365,0.030926,,0,1.000000,1.327626,1.670632,1.847924,2.005407,2.025822,2.128185,2.158382,,,50,50,50,50,50,50,50,276,,138641,138641,138641,138641,138641,138641,138641,139001,
